steamid,player,main_role,total_appearances,total_minutes,atk_rating,mid_rating,def_rating,gk_rating,atk_appearances,mid_appearances,def_appearances,gk_appearances,atk_minutes,mid_minutes,def_minutes,gk_minutes,main_role_rating,display_main_role_rating,rating,last_match_at,is_official_rating
STEAM_0:1:853442827,Skii,DEF,3,294,6.16,,6.61,,1,0,2,0,68,0,226,0,6.61,,,2026-04-11 23:12:49,False
STEAM_0:0:184861085,skipi,DEF,7,405,,6.19,6.85,,0,2,5,0,0,28,377,0,6.85,,,2026-08-09 05:50:49,False
STEAM_0:0:569924402,skuza,DEF,13,1263,6.43,,7.26,,3,0,10,0,296,0,967,0,7.26,,,2026-05-08 02:33:10,False
STEAM_0:1:10197940,SkyyNet,GK,48,2547,6.28,6.28,,7.51,6,1,0,41,140,19,0,2388,7.51,,,2025-08-23 03:29:15,False
STEAM_0:0:743006338,slabed,ATK,8,599,6.65,6.43,6.67,,4,1,3,0,294,94,211,0,6.65,,,2025-11-13 21:07:49,False
STEAM_0:0:63419956,Slasher,ATK,8,706,6.2,,,,8,0,0,0,706,0,0,0,6.2,,,2025-05-30 02:44:16,False
STEAM_0:1:665645215,Slumby,DEF,3,259,,,6.53,,0,0,3,0,0,0,259,0,6.53,,,2025-04-27 21:17:32,False
STEAM_0:1:566337840,Smoothly_Kun,DEF,4,274,,,6.12,,0,0,4,0,0,0,274,0,6.12,,,2025-02-20 01:27:29,False
STEAM_0:0:571387394,Snake,MID,1,0,,6.48,,,0,1,0,0,0,0,0,0,6.48,,,2026-03-02 21:58:18,False
STEAM_0:0:208435993,snek,DEF,1,93,,,6.35,,0,0,1,0,0,0,93,0,6.35,,,2025-03-05 03:12:17,False
STEAM_0:1:480266270,sno,DEF,1,71,,,6.21,,0,0,1,0,0,0,71,0,6.21,,,2025-04-07 22:48:01,False
STEAM_0:1:868962708,son yubo,ATK,5,407,6.5,,6.61,6.18,2,0,2,1,202,0,156,49,6.5,,,2026-06-18 20:12:47,False
STEAM_0:1:575037006,spanska,DEF,3,188,,,6.58,6.14,0,0,2,1,0,0,152,36,6.58,,,2026-04-12 22:10:09,False
STEAM_0:1:685229253,SpeeD,MID,3,159,6.15,6.49,6.43,,1,1,1,0,0,97,62,0,6.49,,,2026-08-01 21:24:16,False
STEAM_0:0:609364134,spn,DEF,1,92,,,6.28,,0,0,1,0,0,0,92,0,6.28,,,2025-06-21 00:40:34,False
STEAM_0:1:934906085,SportyS,DEF,4,253,6.28,,6.43,,1,0,3,0,46,0,207,0,6.43,,,2025-05-11 05:12:50,False
STEAM_0:0:706506423,SSJ,MID,1,61,,6.39,,,0,1,0,0,0,61,0,0,6.39,,,2025-05-06 19:26:06,False
STEAM_0:1:773113745,Starca010,ATK,1,45,6.18,,,,1,0,0,0,45,0,0,0,6.18,,,2025-11-15 01:01:48,False
STEAM_0:1:761906813,Starvin' Marvin,DEF,9,288,6.15,6.2,6.49,6.28,2,1,4,2,50,21,169,48,6.49,,,2026-06-30 23:47:19,False
STEAM_0:0:928640141,SuRend,ATK,1,34,6.31,,,,1,0,0,0,34,0,0,0,6.31,,,2026-04-09 21:37:19,False
STEAM_0:0:959611536,Taarabt,DEF,1,2,,,6.19,,0,0,1,0,0,0,2,0,6.19,,,2026-01-23 04:02:56,False
STEAM_0:0:596540524,Taj',ATK,2,137,6.33,6.21,,,1,1,0,0,93,44,0,0,6.33,,,2025-08-02 22:23:18,False
STEAM_0:1:555397418,tann3r;,DEF,4,291,,,6.75,6.18,0,0,3,1,0,0,285,6,6.75,,,2026-06-07 21:58:56,False
STEAM_0:0:554189067,Tapatanga,ATK,1,56,6.31,,,,1,0,0,0,56,0,0,0,6.31,,,2025-03-15 00:48:55,False
STEAM_0:1:516910308,Tarik,MID,3,215,,6.88,,,0,3,0,0,0,215,0,0,6.88,,,2026-08-06 02:12:41,False
STEAM_0:0:419092027,taZ,GK,2,47,6.19,,,6.32,1,0,0,1,16,0,0,31,6.32,,,2026-06-19 01:12:58,False
STEAM_0:1:702022120,tebann,ATK,10,612,6.62,6.3,,6.11,7,2,0,1,498,63,0,51,6.62,,,2026-07-21 21:36:19,False
STEAM_0:0:548966766,Teclado,DEF,13,1162,,6.3,6.99,,0,1,12,0,0,107,1055,0,6.99,,,2026-07-23 02:14:21,False
STEAM_0:1:230407773,tedri,MID,1,77,,6.22,,,0,1,0,0,0,77,0,0,6.22,,,2026-06-08 01:40:43,False
STEAM_0:1:105274742,Test Object 1,ATK,4,280,6.54,6.36,,,2,2,0,0,184,96,0,0,6.54,,,2025-06-10 03:43:50,False
STEAM_0:1:960101563,the nigger,ATK,4,174,6.07,,6.21,,3,0,1,0,166,0,8,0,6.07,,,2025-12-13 01:47:23,False
STEAM_0:0:955923246,Thekevin32,MID,2,188,,6.5,,,0,2,0,0,0,188,0,0,6.5,,,2025-07-29 21:12:15,False
STEAM_0:1:550647127,time,DEF,1,84,,,6.45,,0,0,1,0,0,0,84,0,6.45,,,2026-03-27 05:39:07,False
